ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
3439;Paraná;-51.4490;-26.7005;4342;5576;5202;4736;3842;3010;2662;2919;3821;3992;4719;5707;5912
3440;Paraná;-51.3490;-26.7005;4258;5459;5109;4658;3767;2975;2621;2875;3776;3902;4582;5584;5793
3441;Paraná;-51.2490;-26.7005;4237;5384;5142;4650;3778;2953;2577;2853;3761;3882;4576;5512;5777
3485;Paraná;-52.0490;-26.6005;4581;5966;5509;4984;4130;3196;2776;3045;3945;4130;5038;6030;6222
3486;Paraná;-51.9490;-26.6005;4575;5942;5503;4996;4114;3175;2780;3052;3945;4136;5035;6025;6201
3487;Paraná;-51.8490;-26.6005;4550;5884;5420;4955;4090;3162;2773;3015;3945;4124;5012;6035;6183
3488;Paraná;-51.7490;-26.6005;4522;5849;5413;4924;4042;3135;2760;3012;3938;4111;4958;5988;6139
3489;Paraná;-51.6490;-26.6005;4483;5799;5366;4874;3970;3104;2735;3011;3933;4099;4884;5921;6095
3490;Paraná;-51.5490;-26.6005;4385;5633;5258;4770;3889;3041;2676;2950;3887;4026;4770;5768;5948
3491;Paraná;-51.4490;-26.6005;4266;5459;5150;4649;3759;2980;2615;2858;3808;3925;4622;5576;5788
3492;Paraná;-51.3490;-26.6005;4206;5382;5084;4608;3694;2949;2571;2798;3763;3868;4539;5489;5720
3493;Paraná;-51.2490;-26.6005;4209;5390;5099;4626;3692;2912;2553;2823;3774;3866;4542;5482;5745
3535;Paraná;-52.2490;-26.5005;4609;6053;5571;5016;4139;3219;2768;3049;3980;4141;5082;6059;6235
3536;Paraná;-52.1490;-26.5005;4593;6001;5505;5008;4142;3213;2772;3057;3987;4143;5050;6030;6206
3537;Paraná;-52.0490;-26.5005;4584;5963;5495;5007;4138;3184;2766;3048;3974;4142;5054;6034;6203
3538;Paraná;-51.9490;-26.5005;4571;5928;5484;5004;4111;3168;2761;3032;3975;4145;5024;6038;6183
3539;Paraná;-51.8490;-26.5005;4554;5908;5406;4995;4072;3166;2774;3019;3973;4148;5016;6022;6156
3540;Paraná;-51.7490;-26.5005;4473;5778;5371;4870;3992;3116;2716;2966;3930;4099;4884;5912;6046
3541;Paraná;-51.6490;-26.5005;4408;5696;5278;4770;3920;3084;2686;2954;3903;4056;4785;5806;5952
3542;Paraná;-51.5490;-26.5005;4299;5556;5187;4659;3794;2996;2623;2877;3839;3950;4658;5635;5809
3543;Paraná;-51.4490;-26.5005;4248;5475;5131;4623;3729;2961;2593;2843;3807;3905;4584;5566;5759
3544;Paraná;-51.3490;-26.5005;4188;5395;5081;4565;3653;2928;2562;2803;3762;3863;4496;5475;5667
3545;Paraná;-51.2490;-26.5005;4192;5375;5111;4590;3649;2934;2540;2803;3761;3860;4492;5479;5709
3579;Paraná;-53.1490;-26.4005;4643;6197;5689;5049;4112;3234;2755;3063;3988;4210;5139;6000;6278
3580;Paraná;-53.0490;-26.4005;4645;6195;5651;5056;4134;3241;2764;3052;3988;4211;5136;6038;6267
3581;Paraná;-52.9490;-26.4005;4642;6155;5659;5064;4141;3226;2762;3068;3987;4204;5123;6045;6275
3582;Paraná;-52.8490;-26.4005;4640;6132;5662;5072;4137;3228;2769;3071;3987;4196;5110;6045;6268
3583;Paraná;-52.7490;-26.4005;4650;6159;5639;5074;4152;3229;2790;3069;4000;4184;5119;6089;6287
3584;Paraná;-52.6490;-26.4005;4661;6195;5654;5098;4179;3253;2782;3068;4019;4188;5135;6084;6276
3585;Paraná;-52.5490;-26.4005;4664;6178;5638;5110;4177;3251;2788;3078;4023;4181;5136;6099;6306
3586;Paraná;-52.4490;-26.4005;4660;6164;5601;5095;4162;3255;2799;3087;4018;4191;5125;6113;6313
3587;Paraná;-52.3490;-26.4005;4643;6114;5598;5087;4160;3254;2784;3070;4027;4176;5092;6097;6265
3588;Paraná;-52.2490;-26.4005;4633;6098;5573;5077;4151;3247;2785;3068;4030;4174;5087;6078;6229
3589;Paraná;-52.1490;-26.4005;4615;6083;5533;5050;4144;3221;2799;3062;4011;4169;5073;6057;6176
3590;Paraná;-52.0490;-26.4005;4593;5996;5495;5028;4119;3205;2798;3043;4000;4148;5052;6051;6176
3591;Paraná;-51.9490;-26.4005;4570;5920;5456;5010;4088;3190;2784;3026;3999;4147;5019;6027;6175
3592;Paraná;-51.8490;-26.4005;4542;5902;5400;4983;4030;3158;2766;3022;3991;4151;4966;5987;6144
3593;Paraná;-51.7490;-26.4005;4434;5763;5306;4837;3929;3078;2702;2950;3925;4052;4834;5823;6002
3594;Paraná;-51.6490;-26.4005;4369;5665;5216;4760;3875;3047;2670;2909;3896;4006;4753;5732;5905
3595;Paraná;-51.5490;-26.4005;4298;5536;5190;4680;3787;2984;2635;2850;3860;3949;4660;5621;5820
3596;Paraná;-51.4490;-26.4005;4231;5451;5119;4600;3706;2953;2592;2831;3820;3895;4560;5525;5713
3597;Paraná;-51.3490;-26.4005;4184;5410;5090;4544;3654;2930;2551;2804;3771;3844;4488;5459;5656
3598;Paraná;-51.2490;-26.4005;4174;5403;5092;4573;3625;2912;2517;2770;3742;3844;4462;5473;5675
3626;Paraná;-53.6490;-26.3005;4692;6337;5812;5172;4136;3214;2763;3052;3964;4225;5215;6044;6363
3627;Paraná;-53.5490;-26.3005;4697;6310;5761;5149;4168;3237;2764;3075;3992;4242;5219;6053;6394
3628;Paraná;-53.4490;-26.3005;4695;6319;5755;5146;4178;3232;2754;3067;3987;4252;5201;6069;6374
3629;Paraná;-53.3490;-26.3005;4677;6317;5707;5126;4173;3230;2750;3061;3982;4240;5177;6060;6299
3630;Paraná;-53.2490;-26.3005;4660;6216;5668;5109;4141;3237;2759;3072;4005;4245;5165;6023;6283
3631;Paraná;-53.1490;-26.3005;4669;6223;5672;5127;4145;3254;2766;3071;4017;4244;5164;6042;6297
3632;Paraná;-53.0490;-26.3005;4682;6240;5664;5136;4170;3274;2794;3074;4029;4238;5179;6087;6302
3633;Paraná;-52.9490;-26.3005;4677;6181;5678;5125;4176;3259;2806;3086;4033;4233;5167;6081;6298
3634;Paraná;-52.8490;-26.3005;4677;6197;5673;5119;4174;3252;2820;3088;4037;4230;5153;6074;6301
3635;Paraná;-52.7490;-26.3005;4683;6230;5650;5123;4185;3253;2821;3089;4046;4219;5154;6105;6327
3636;Paraná;-52.6490;-26.3005;4685;6245;5669;5131;4197;3253;2815;3082;4065;4209;5146;6095;6307
3637;Paraná;-52.5490;-26.3005;4694;6237;5678;5140;4205;3266;2818;3096;4066;4195;5170;6127;6335
3638;Paraná;-52.4490;-26.3005;4680;6191;5621;5134;4184;3270;2817;3099;4051;4200;5152;6119;6321
3639;Paraná;-52.3490;-26.3005;4659;6156;5608;5111;4165;3265;2802;3080;4051;4205;5116;6096;6259
3640;Paraná;-52.2490;-26.3005;4645;6121;5591;5098;4153;3256;2811;3079;4045;4200;5104;6074;6215
3641;Paraná;-52.1490;-26.3005;4620;6095;5530;5060;4126;3219;2811;3074;4030;4181;5073;6045;6192
3642;Paraná;-52.0490;-26.3005;4590;5979;5467;5010;4106;3205;2806;3051;4034;4178;5034;6031;6177
3643;Paraná;-51.9490;-26.3005;4562;5909;5432;4990;4078;3182;2786;3031;4017;4163;5000;5997;6153
3644;Paraná;-51.8490;-26.3005;4519;5852;5407;4950;4027;3139;2747;3001;3992;4132;4941;5945;6092
3645;Paraná;-51.7490;-26.3005;4434;5737;5301;4854;3930;3073;2696;2939;3947;4046;4859;5837;5994
3646;Paraná;-51.6490;-26.3005;4382;5663;5234;4791;3874;3033;2681;2914;3915;4013;4784;5757;5923
3647;Paraná;-51.5490;-26.3005;4290;5501;5197;4678;3766;2970;2628;2844;3866;3940;4673;5607;5809
3648;Paraná;-51.4490;-26.3005;4235;5473;5158;4606;3702;2944;2572;2819;3811;3886;4571;5543;5736
3649;Paraná;-51.3490;-26.3005;4200;5440;5146;4579;3666;2917;2529;2788;3776;3848;4507;5508;5692
3650;Paraná;-51.2490;-26.3005;4192;5476;5168;4617;3635;2892;2489;2730;3736;3843;4497;5511;5711
3651;Paraná;-51.1490;-26.3005;4175;5439;5117;4598;3605;2897;2482;2721;3710;3828;4484;5503;5712
3652;Paraná;-51.0490;-26.3005;4133;5405;5106;4581;3561;2867;2429;2664;3656;3780;4432;5436;5683
3653;Paraná;-50.9490;-26.3005;4103;5392;5118;4555;3526;2826;2385;2623;3631;3767;4407;5377;5626
3654;Paraná;-50.8490;-26.3005;4084;5349;5093;4542;3526;2805;2368;2613;3623;3775;4370;5363;5579
3678;Paraná;-53.7490;-26.2005;4710;6386;5780;5180;4188;3229;2797;3080;3969;4230;5221;6048;6415
3679;Paraná;-53.6490;-26.2005;4713;6384;5765;5161;4164;3227;2794;3097;4000;4239;5239;6065;6416
3680;Paraná;-53.5490;-26.2005;4736;6449;5768;5220;4206;3244;2784;3087;4036;4246;5244;6122;6426
3681;Paraná;-53.4490;-26.2005;4737;6414;5769;5224;4218;3246;2781;3088;4028;4266;5244;6141;6424
3682;Paraná;-53.3490;-26.2005;4711;6334;5716;5163;4198;3253;2780;3100;4029;4269;5222;6124;6338
3683;Paraná;-53.2490;-26.2005;4688;6238;5656;5154;4194;3245;2782;3078;4042;4257;5204;6090;6316
3684;Paraná;-53.1490;-26.2005;4689;6247;5669;5155;4189;3255;2783;3087;4046;4247;5177;6098;6319
3685;Paraná;-53.0490;-26.2005;4703;6270;5684;5161;4193;3277;2808;3108;4045;4251;5202;6114;6323
3686;Paraná;-52.9490;-26.2005;4695;6193;5681;5172;4207;3270;2824;3089;4049;4242;5193;6095;6326
3687;Paraná;-52.8490;-26.2005;4700;6235;5685;5153;4207;3268;2824;3092;4063;4237;5180;6109;6352
3688;Paraná;-52.7490;-26.2005;4710;6304;5671;5148;4216;3272;2835;3094;4067;4214;5183;6145;6369
3689;Paraná;-52.6490;-26.2005;4690;6272;5647;5173;4188;3251;2824;3082;4085;4206;5158;6063;6335
3690;Paraná;-52.5490;-26.2005;4705;6256;5668;5185;4194;3271;2834;3088;4081;4213;5189;6120;6354
3691;Paraná;-52.4490;-26.2005;4692;6188;5640;5159;4190;3290;2856;3091;4076;4209;5165;6122;6324
3692;Paraná;-52.3490;-26.2005;4669;6159;5609;5137;4152;3265;2834;3098;4073;4235;5135;6085;6245
3693;Paraná;-52.2490;-26.2005;4649;6126;5591;5119;4138;3253;2826;3093;4057;4210;5099;6056;6220
3694;Paraná;-52.1490;-26.2005;4630;6087;5517;5076;4139;3238;2833;3098;4047;4214;5103;6019;6193
3695;Paraná;-52.0490;-26.2005;4604;6006;5474;5016;4125;3211;2810;3068;4054;4219;5071;6029;6165
3696;Paraná;-51.9490;-26.2005;4570;5930;5445;4987;4099;3178;2774;3035;4029;4182;5013;6006;6160
3697;Paraná;-51.8490;-26.2005;4523;5865;5435;4982;4029;3132;2720;2976;3987;4135;4970;5942;6100
3698;Paraná;-51.7490;-26.2005;4465;5712;5361;4893;3984;3098;2722;2962;3974;4089;4904;5849;6029
3699;Paraná;-51.6490;-26.2005;4372;5562;5260;4781;3888;3029;2692;2909;3935;4002;4774;5733;5903
